,stock,Bearish,Neutral,Bullish,Total_Compound,date
0,TSLA,0.113,0.734,0.153,0.091,2022-06-13
1,AMZN,0.084,0.739,0.178,0.288,2022-06-13
2,ON,0.210,0.724,0.066,-0.201,2022-06-13
3,FB,0.103,0.753,0.145,0.252,2022-06-13
4,AMD,0.080,0.796,0.124,0.330,2022-06-13
5,AAPL,0.024,0.786,0.190,0.408,2022-06-13
6,SOFI,0.190,0.720,0.089,-0.580,2022-06-13
7,GO,0.225,0.714,0.061,0.008,2022-06-13
8,MSFT,0.000,1.000,0.000,0.000,2022-06-13
9,NVDA,0.090,0.910,0.000,-0.148,2022-06-13
10,ME,0.238,0.762,0.000,-0.718,2022-06-13
11,LCID,0.000,1.000,0.000,0.000,2022-06-13
12,DOCU,0.000,1.000,0.000,0.000,2022-06-13
13,CAN,0.433,0.567,0.000,-0.893,2022-06-13
14,FUND,0.000,0.870,0.130,0.740,2022-06-13
15,GET,0.282,0.718,0.000,-0.835,2022-06-13
16,MSTR,0.000,0.486,0.514,0.742,2022-06-13
17,GOOD,0.048,0.651,0.301,0.919,2022-06-13
18,MTCH,0.333,0.667,0.000,-0.718,2022-06-13
19,ETH,0.016,0.861,0.122,0.909,2022-06-13
